target_z,target_speed,cloud_y_spread,cloud_count,label
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0.3227958119575921,43,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0.23982643077628,38,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.46624839305877686,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0.3167770616978464,45,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.5394102334976196,0,0,0,2
0.1765643209218979,0,0.27842400558373415,75,2
0.1765643209218979,0,0.27842400558373415,75,2
0.13330477476119995,0,0.2877283961885503,12,2
0.13330477476119995,0,0.2877283961885503,12,2
0.02584581822156906,0,0.06000849683746484,7,2
0.02584581822156906,0,0.06000849683746484,7,2
-0.022469457,0,0.13887238603026544,13,2
0.152429461479187,0,0.18929409821655765,10,2
0.152429461479187,0,0.18929409821655765,10,2
0.182953342795372,0,0.25902456336024376,18,2
0.182953342795372,0,0.25902456336024376,18,2
0.182953342795372,0,0.25902456336024376,18,2
0.182953342795372,0,0.25902456336024376,18,2
0.182953342795372,0,0.25902456336024376,18,2
0.182953342795372,0,0.25902456336024376,18,2
-0.526842773,0,0.2528756704301363,56,2
-0.526842773,0,0.2528756704301363,56,2
0.24989984929561615,0,0.10074235268828516,10,2
0.24989984929561615,0,0.10074235268828516,10,2
0.00548415957018733,0,0.09612957140836012,6,2
0.00548415957018733,0,0.09612957140836012,6,2
0.019102197140455246,0,0.14367823799061846,12,2
0.019102197140455246,0,0.14367823799061846,12,2
-0.063976683,0,0.05682952215875412,9,2
-0.063976683,0,0.05682952215875412,9,2
-0.063976683,0,0.05682952215875412,9,2
-0.063976683,0,0.05682952215875412,9,2
0.13830667734146118,0,0.2231691010694702,10,2
0.30925148725509644,0,0.08049205843078278,14,2
0.4337272346019745,0,0.1885647675483421,19,2
0.4337272346019745,0,0.1885647675483421,19,2
0.47499340772628784,0,0.22755439607547784,22,2
0.47499340772628784,0,0.22755439607547784,22,2
